name,OH,filling,center,sigma_c,skewness,kurtosis,local_Pauling,IonizationPotential,ElectronAffinity,Pauling,WorkFunction,dBandCenter,AtomicRadius,OrbitalRadius
M-Au-Ir,1.544618,0.959054704,-3.678456591,1.8195887380000002,0.6916414059999999,4.547751784,2.4328224,9.23,2.31,2.54,6.01,-3.56,1.59,1.01
M-Au-Pt,1.522363,0.9644228709999999,-3.377302357,1.67666174,0.803070277,5.109193084,2.459031294,9.23,2.31,2.54,6.01,-3.56,1.59,1.01
M-Pd-Cu,1.248033,0.9189852,-2.3539117640000002,1.821104281,0.340387909,3.281089258,2.105338619,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
M-Pd-Ru,0.9195700000000001,0.917089292,-2.118855073,1.5764789819999998,0.469674088,3.684657637,2.2,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
M-Pd-Rh,0.978979,0.918316275,-2.090893066,1.5750884369999998,0.427053985,3.791725893,2.223700689,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
M-Pd-Ag,1.059059,0.930380807,-1.4439068380000002,1.247186083,0.208352622,5.958382321,2.115256651,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
M-Pd-W,0.617374,0.9173648670000001,-2.554874087,1.658561582,1.007252263,4.903445023,2.24682619,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
M-Pd-Re,0.707412,0.915782986,-2.363674485,1.686681739,0.589650934,3.998990149,2.105338619,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
M-Pd-Ir,0.925376,0.9206629359999999,-2.196915815,1.624636938,0.279053745,3.9424726580000002,2.2,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
M-Pd-Pt,0.915007,0.9148585459999999,-1.781912561,1.486097078,0.20032552,4.153883,2.223700689,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
M-Pd-Au,0.916633,0.92886193,-1.4581091990000001,1.326671376,-0.040530337,5.442552309,2.296920647,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
M-Pt-Cu,1.496852,0.8723660329999999,-2.60202812,2.415511291,0.200432902,2.761208714,2.1586412569999998,9.0,2.13,2.28,6.74,-2.25,1.53,1.04
M-Pt-Ru,1.065669,0.872598622,-2.460556325,2.0741403519999997,0.342065031,3.070153781,2.25569926,9.0,2.13,2.28,6.74,-2.25,1.53,1.04
M-Pt-Rh,1.137191,0.872152376,-2.419532377,2.070754906,0.30326435,3.10001472,2.28,9.0,2.13,2.28,6.74,-2.25,1.53,1.04
M-Pt-Pd,1.005361,0.87530344,-2.016570198,1.87542315,0.300490154,3.282096291,2.25569926,9.0,2.13,2.28,6.74,-2.25,1.53,1.04
M-Pt-Ag,1.209156,0.8852688479999999,-1.5740407859999999,1.597512285,0.222292958,4.200984836,2.1688103919999997,9.0,2.13,2.28,6.74,-2.25,1.53,1.04
M-Pt-W,0.6250979999999999,0.872566417,-2.748113905,2.1084517959999998,0.773645246,3.69350972,2.303710988,9.0,2.13,2.28,6.74,-2.25,1.53,1.04
M-Pt-Re,0.777414,0.87729637,-2.749695277,2.1595496240000003,0.473622631,3.207215355,2.1586412569999998,9.0,2.13,2.28,6.74,-2.25,1.53,1.04
M-Pt-Ir,1.0559180000000001,0.878098901,-2.529954085,2.088455751,0.252525545,3.1281862819999997,2.25569926,9.0,2.13,2.28,6.74,-2.25,1.53,1.04
M-Pt-Au,0.983081,0.882532225,-1.5885203669999999,1.6485119119999998,0.099651966,4.011627301,2.355073729,9.0,2.13,2.28,6.74,-2.25,1.53,1.04
M-Rh-Cu,0.683269,0.801283292,-1.7615431190000002,2.073841435,0.22343680300000002,2.7797432910000004,2.1586412569999998,7.46,1.14,2.28,5.91,-1.73,1.49,0.99
M-Rh-Ru,0.480993,0.790191135,-1.703406304,1.894038186,0.286064654,2.971491545,2.25569926,7.46,1.14,2.28,5.91,-1.73,1.49,0.99
M-Rh-Pd,0.500451,0.790118304,-1.446756674,1.7057882780000002,0.297613434,3.371170958,2.25569926,7.46,1.14,2.28,5.91,-1.73,1.49,0.99
M-Rh-Ag,0.384984,0.80389591,-1.046978493,1.4411910940000001,0.21436859,4.823315273,2.1688103919999997,7.46,1.14,2.28,5.91,-1.73,1.49,0.99
M-Rh-W,0.488414,0.8000629659999999,-1.855410905,1.9855177640000001,0.629165442,3.395271265,2.303710988,7.46,1.14,2.28,5.91,-1.73,1.49,0.99
M-Rh-Re,0.447032,0.794277281,-1.906588421,2.060648411,0.358664621,3.029484584,2.1586412569999998,7.46,1.14,2.28,5.91,-1.73,1.49,0.99
M-Rh-Ir,0.5249689999999999,0.7905516440000001,-1.7278283019999998,1.938099496,0.10345638800000001,3.252867326,2.25569926,7.46,1.14,2.28,5.91,-1.73,1.49,0.99
M-Rh-Pt,0.45841499999999996,0.790657505,-1.5089443619999998,1.778466137,0.088497384,3.552333017,2.28,7.46,1.14,2.28,5.91,-1.73,1.49,0.99
M-Rh-Au,0.324606,0.8046872009999999,-1.1343939170000001,1.522274352,-0.011877796999999999,4.621625188,2.355073729,7.46,1.14,2.28,5.91,-1.73,1.49,0.99
M-Ir-Cu,0.656196,0.777619152,-2.19568265,2.6288375459999997,0.12964221199999998,2.463258217,2.105338619,9.1,1.57,2.2,6.63,-2.11,1.5,1.08
M-Ir-Ru,0.580015,0.76861681,-2.069050411,2.365006146,0.206508967,2.5314034519999997,2.2,9.1,1.57,2.2,6.63,-2.11,1.5,1.08
M-Ir-Rh,0.63134,0.76542852,-2.057662739,2.353331228,0.181319502,2.604666447,2.223700689,9.1,1.57,2.2,6.63,-2.11,1.5,1.08
M-Ir-Pd,0.348501,0.7736113259999999,-1.790214459,2.119990295,0.17645433100000002,2.8020028810000004,2.2,9.1,1.57,2.2,6.63,-2.11,1.5,1.08
M-Ir-Ag,0.146727,0.781659408,-1.2468677670000001,1.772412035,0.084933009,3.56049652,2.115256651,9.1,1.57,2.2,6.63,-2.11,1.5,1.08
M-Ir-W,0.515204,0.775265746,-2.1463944390000003,2.361573012,0.48717235600000003,2.8329977000000004,2.24682619,9.1,1.57,2.2,6.63,-2.11,1.5,1.08
M-Ir-Re,0.530393,0.774317592,-2.2353797859999998,2.505910955,0.28553010300000004,2.553143033,2.105338619,9.1,1.57,2.2,6.63,-2.11,1.5,1.08
M-Ir-Pt,0.392613,0.76790373,-1.86412033,2.198937731,0.041759752000000004,2.800750616,2.223700689,9.1,1.57,2.2,6.63,-2.11,1.5,1.08
M-Ir-Au,0.05801799999999999,0.7770010829999999,-1.344036495,1.871552043,-0.071161526,3.455312623,2.296920647,9.1,1.57,2.2,6.63,-2.11,1.5,1.08
M-Re-Ru,-0.18667999999999998,0.574308668,-0.9312276420000001,2.75613121,-0.021611900000000003,2.094766819,1.985428835,7.88,0.15,1.9,5.88,-0.51,1.52,1.2
M-Re-W,-0.33825500000000003,0.594215548,-0.485242836,2.617164359,0.11706925900000001,2.21675972,2.027687956,7.88,0.15,1.9,5.88,-0.51,1.52,1.2
M-Re-Ir,-0.191538,0.575621832,-0.967175235,2.82512265,-0.160272779,2.260070136,1.985428835,7.88,0.15,1.9,5.88,-0.51,1.52,1.2
M-Re-Pt,-0.249437,0.575737705,-0.943664575,2.644841188,-0.22106258,2.431582131,2.00681794,7.88,0.15,1.9,5.88,-0.51,1.52,1.2
M-Co-Ni,0.40934499999999996,0.764968458,-1.407123495,1.696905118,0.331138579,3.291111651,1.888950184,7.88,0.66,1.88,5.76,-1.17,1.39,0.76
M-Ru-Rh,0.398962,0.7027776059999999,-1.392255456,2.062754696,0.080932091,2.590145843,2.223700689,7.36,1.05,2.2,5.73,-1.41,1.48,1.05
M-Ru-Pd,0.1747,0.689615572,-1.210983216,1.857442289,0.041799745,2.850627719,2.2,7.36,1.05,2.2,5.73,-1.41,1.48,1.05
M-Ru-Ag,-0.016474000000000003,0.713357679,-0.867884757,1.6313520780000001,0.008219568,3.7596619469999997,2.115256651,7.36,1.05,2.2,5.73,-1.41,1.48,1.05
M-Ru-W,0.476221,0.7205217909999999,-1.238157003,2.108453805,0.362928085,2.7814629589999997,2.24682619,7.36,1.05,2.2,5.73,-1.41,1.48,1.05
M-Ru-Re,0.45075299999999996,0.7207309140000001,-1.50047294,2.244796052,0.161184551,2.545244006,2.105338619,7.36,1.05,2.2,5.73,-1.41,1.48,1.05
M-Ru-Ir,0.338276,0.70102368,-1.375524276,2.135450081,-0.098971071,2.7801390919999998,2.2,7.36,1.05,2.2,5.73,-1.41,1.48,1.05
M-Ru-Pt,0.270276,0.699912572,-1.325796352,1.962953425,-0.155380023,3.062155031,2.223700689,7.36,1.05,2.2,5.73,-1.41,1.48,1.05
M-Ru-Au,-0.06051,0.7104454259999999,-0.9520822959999999,1.728208459,-0.209249856,3.729918842,2.296920647,7.36,1.05,2.2,5.73,-1.41,1.48,1.05
M-Cr-Ru,-0.68394,0.500219478,-0.023820386000000002,1.7167285369999998,-0.49292271600000004,3.2906442780000003,1.806352339,6.77,0.67,1.66,5.27,0.16,1.42,0.9
M-Cr-Ir,-0.606688,0.491904424,-0.139160955,1.8192799780000002,-0.827166585,4.280983414,1.806352339,6.77,0.67,1.66,5.27,0.16,1.42,0.9
M-Mo-Pd,-0.29136100000000004,0.492277054,-0.200417879,2.3182097759999998,-0.143019192,2.352983127,2.171923028,7.09,0.75,2.16,5.09,0.35,1.55,1.2
M-Mo-W,-1.473935,0.505113528,0.077870482,2.3042374430000003,0.047362712,2.213542431,2.21815161,7.09,0.75,2.16,5.09,0.35,1.55,1.2
M-Mo-Ir,-0.46896899999999997,0.500705644,-0.29553609,2.611348028,-0.256227211,2.356872036,2.171923028,7.09,0.75,2.16,5.09,0.35,1.55,1.2
M-Mo-Pt,-0.27870100000000003,0.49986817299999997,-0.287598183,2.463121213,-0.331457021,2.567788664,2.195321243,7.09,0.75,2.16,5.09,0.35,1.55,1.2
M-W-Pt,-0.412141,0.46762966799999994,-0.21129215699999998,2.760379354,-0.353182951,2.3988708080000003,2.335709656,7.98,0.86,2.36,5.09,0.77,1.56,1.27
M-W-Au,-1.0461120000000002,0.46255286,-0.021837077000000003,2.416438167,-0.423235384,3.009578631,2.412617741,7.98,0.86,2.36,5.09,0.77,1.56,1.27
M-Mn-Cu,-0.350107,0.561739106,-0.346572517,2.2890291680000003,0.148652233,2.152271292,1.647624605,7.43,0.0,1.55,5.45,0.07,1.43,0.86
M-Mn-Rh,-0.42978599999999995,0.567283109,-0.451009941,1.585266721,-0.326773026,4.162037118,1.740254009,7.43,0.0,1.55,5.45,0.07,1.43,0.86
M-Mn-Ag,-0.385022,0.547627312,-0.6285210960000001,2.2879876980000002,0.182539487,1.831480693,1.655386394,7.43,0.0,1.55,5.45,0.07,1.43,0.86
M-Mn-Ir,-0.435173,0.573054761,-0.462653704,1.665216975,-0.555484057,4.733610474,1.7217060000000002,7.43,0.0,1.55,5.45,0.07,1.43,0.86
M-Fe-Cu,0.076313,0.681567313,-1.013225889,1.88253586,0.263597984,2.6147309290000003,1.850724794,7.9,0.15,1.83,5.54,-0.92,1.41,0.8
M-Fe-Ru,-0.230291,0.6838462559999999,-0.98973232,1.850371849,0.21660657,2.399192723,1.93393809,7.9,0.15,1.83,5.54,-0.92,1.41,0.8
M-Fe-Rh,-0.18009,0.674415487,-1.017200547,1.882965024,0.216486768,2.411511991,1.9547724830000002,7.9,0.15,1.83,5.54,-0.92,1.41,0.8
M-Fe-Ag,-1.4370120000000002,0.6678108629999999,-1.1443943840000002,1.759850626,0.254346334,2.578693611,1.859443367,7.9,0.15,1.83,5.54,-0.92,1.41,0.8
M-Fe-W,-1.272316,0.7030622790000001,-0.899052289,1.7378064999999998,0.165471584,2.637906117,1.9751012490000002,7.9,0.15,1.83,5.54,-0.92,1.41,0.8
M-Fe-Ir,-0.18676199999999998,0.676135998,-1.024150846,1.906617176,0.10214450900000001,2.642900542,1.93393809,7.9,0.15,1.83,5.54,-0.92,1.41,0.8
M-Fe-Pt,-1.017603,0.6756387509999999,-1.1332210520000001,1.92376838,0.10071032699999999,2.465695499,1.9547724830000002,7.9,0.15,1.83,5.54,-0.92,1.41,0.8
M-Os-Cu,-0.761202,0.6871654340000001,-1.7705036840000001,2.778754927,0.10405006300000001,2.3000256930000003,2.105338619,8.7,1.1,2.2,6.25,-1.5,1.49,1.13
M-Os-Ru,0.08441,0.673926354,-1.6120872640000001,2.585487126,0.08369686400000001,2.2283442019999997,2.2,8.7,1.1,2.2,6.25,-1.5,1.49,1.13
M-Os-Rh,0.169903,0.675083115,-1.603283267,2.572024536,0.063717064,2.307617944,2.223700689,8.7,1.1,2.2,6.25,-1.5,1.49,1.13
M-Os-Pd,-0.367508,0.668174568,-1.403661672,2.324199587,0.030575066,2.479142772,2.2,8.7,1.1,2.2,6.25,-1.5,1.49,1.13
M-Os-Ag,-1.259767,0.678026004,-0.945296515,1.914993514,-0.05251845,3.286978074,2.115256651,8.7,1.1,2.2,6.25,-1.5,1.49,1.13
M-Os-W,0.251784,0.6894729190000001,-1.277794881,2.5119413109999997,0.270598348,2.395782056,2.24682619,8.7,1.1,2.2,6.25,-1.5,1.49,1.13
M-Os-Re,0.256797,0.690761469,-1.67397535,2.738179847,0.138288845,2.23652403,2.105338619,8.7,1.1,2.2,6.25,-1.5,1.49,1.13
M-Os-Ir,0.208986,0.678258425,-1.6191228780000002,2.63875719,-0.052565812,2.3706941230000003,2.2,8.7,1.1,2.2,6.25,-1.5,1.49,1.13
M-Os-Pt,-0.137479,0.670704188,-1.5087685,2.435542034,-0.118856376,2.5389844790000002,2.223700689,8.7,1.1,2.2,6.25,-1.5,1.49,1.13
M-Os-Au,-1.3583129999999999,0.6760908609999999,-1.0926210140000001,2.054444498,-0.25887306,3.254590559,2.296920647,8.7,1.1,2.2,6.25,-1.5,1.49,1.13
M-V-Rh,-1.192037,0.391825405,0.400788831,1.866188442,-0.5066158,3.141595498,1.802651512,6.75,0.53,1.63,4.88,1.06,1.49,0.98
M-V-Pd,-1.150719,0.37972812899999997,0.387099115,1.728802947,-0.61226345,3.793544655,1.783438457,6.75,0.53,1.63,4.88,1.06,1.49,0.98
M-V-Ir,-1.2039520000000001,0.395027167,0.366266637,1.933623916,-0.7156638909999999,3.715567651,1.783438457,6.75,0.53,1.63,4.88,1.06,1.49,0.98
M-V-Pt,-1.302223,0.38220104899999996,0.318737007,1.8596174090000002,-0.8583705970000001,4.300834898,1.802651512,6.75,0.53,1.63,4.88,1.06,1.49,0.98
M-Ta-Ag,-1.205211,0.3681353,0.558157739,2.313474839,-0.38300535399999996,2.711125312,1.6178232559999999,7.89,0.32,1.5,4.86,2.0,1.62,1.34
M-Ta-Au,-1.086108,0.367254236,0.515671117,2.497498834,-0.579232381,2.97682502,1.7567663180000002,7.89,0.32,1.5,4.86,2.0,1.62,1.34
Cu-M-Cu-Ni,0.684823,0.970837265,-2.21071291,1.0658574440000002,1.132428983,8.566567233999999,1.90299449,7.73,1.24,1.9,5.3,-2.67,1.41,0.67
Cu-M-Cu-Pt,0.803773,0.972706396,-2.095402233,1.0862212409999998,0.369807926,8.744596768,2.00681794,7.73,1.24,1.9,5.3,-2.67,1.41,0.67
Au-M-Au-Ti,1.116918,0.9642796779999999,-4.069398183000001,1.548769061,1.8795706509999999,8.608343413,2.185947956,9.23,2.31,2.54,6.01,-3.56,1.59,1.01
Au-M-Au-Mn,1.1636,0.959364508,-3.845074559,1.5602122059999999,1.642279887,7.945790859,2.190196654,9.23,2.31,2.54,6.01,-3.56,1.59,1.01
Au-M-Au-Co,0.983016,0.963341769,-3.6449383739999996,1.5327315259999998,1.4798369009999999,7.320931617,2.3207638790000003,9.23,2.31,2.54,6.01,-3.56,1.59,1.01
Au-M-Au-Ni,1.297267,0.963506972,-3.428840025,1.5184393809999999,1.4651308180000002,7.210309777000001,2.331812423,9.23,2.31,2.54,6.01,-3.56,1.59,1.01
Au-M-Au-Cu,1.406875,0.965712267,-3.639687777,1.514865792,1.400021187,7.348126541,2.328143159,9.23,2.31,2.54,6.01,-3.56,1.59,1.01
Au-M-Au-Zn,1.291393,0.970927509,-3.8910091089999996,1.496743325,1.103055871,8.073088037,2.231663883,9.23,2.31,2.54,6.01,-3.56,1.59,1.01
Au-M-Au-Ga,1.355127,0.963269444,-3.646476859,1.542312404,1.260730517,8.468739646,2.294495309,9.23,2.31,2.54,6.01,-3.56,1.59,1.01
Au-M-Au-Zr,1.096008,0.960226835,-3.987951503,1.5965181480000001,1.985452685,9.139432477,2.091891205,9.23,2.31,2.54,6.01,-3.56,1.59,1.01
Au-M-Au-Nb,0.813513,0.959178896,-4.014693721,1.614358212,1.7885907419999998,7.97512474,2.2111570830000002,9.23,2.31,2.54,6.01,-3.56,1.59,1.01
Au-M-Au-Mo,0.5997020000000001,0.959451775,-3.9177363410000003,1.595611671,1.592444285,7.145661465,2.419467134,9.23,2.31,2.54,6.01,-3.56,1.59,1.01
Au-M-Au-Ru,1.105608,0.963463353,-3.420404501,1.516244177,1.312947712,6.40442695,2.4328224,9.23,2.31,2.54,6.01,-3.56,1.59,1.01
Au-M-Au-Rh,1.313433,0.963726313,-3.181265839,1.4957342530000002,1.2474244829999999,6.293143957000001,2.459031294,9.23,2.31,2.54,6.01,-3.56,1.59,1.01
Au-M-Au-Ag,1.422489,0.9687150720000001,-3.4215455919999997,1.4143024480000002,1.231106106,7.867426292,2.339110801,9.23,2.31,2.54,6.01,-3.56,1.59,1.01
Au-M-Au-Ta,0.77891,0.956913073,-4.091255136,1.6893149619999999,1.7684587330000001,7.796071813999999,2.168757427,9.23,2.31,2.54,6.01,-3.56,1.59,1.01
Au-M-Au-W,0.725242,0.957510393,-4.037370415,1.682851146,1.566910763,6.953686222999999,2.484604129,9.23,2.31,2.54,6.01,-3.56,1.59,1.01
Au-M-Au-Re,0.418405,0.957370065,-3.8357000360000004,1.6796811759999999,1.332700607,6.036210013,2.328143159,9.23,2.31,2.54,6.01,-3.56,1.59,1.01
Au-M-Au-Os,0.677892,0.9585739870000001,-3.614705184,1.655586157,1.171680582,5.6006966060000005,2.4328224,9.23,2.31,2.54,6.01,-3.56,1.59,1.01
Au-M-Au-Ir,1.211363,0.96321563,-3.2718144689999997,1.571753725,1.092973189,5.710696966,2.4328224,9.23,2.31,2.54,6.01,-3.56,1.59,1.01
Au-M-Au-Pt,1.388692,0.9666413359999999,-3.079319042,1.501225911,1.022051292,5.887914151,2.459031294,9.23,2.31,2.54,6.01,-3.56,1.59,1.01
Pt-M-Pt-Sc,1.1884709999999998,0.887332858,-2.671204559,1.9720278919999998,1.0043869029999999,4.454389966,1.952612501,9.0,2.13,2.28,6.74,-2.25,1.53,1.04
Pt-M-Pt-Ti,1.070128,0.889344516,-2.823090615,1.990453663,0.92001772,4.069095648,2.026798663,9.0,2.13,2.28,6.74,-2.25,1.53,1.04
Pt-M-Pt-V,0.880091,0.874690064,-2.8056117830000002,2.018763938,0.784680154,3.619322227,2.061629758,9.0,2.13,2.28,6.74,-2.25,1.53,1.04
Pt-M-Pt-Cr,0.44903999999999994,0.880720837,-2.697672155,2.0009408019999997,0.713268108,3.5942229169999997,2.072940417,9.0,2.13,2.28,6.74,-2.25,1.53,1.04
Pt-M-Pt-Co,1.123577,0.878742853,-2.388466582,1.906120408,0.5112326189999999,3.501053031,2.15179923,9.0,2.13,2.28,6.74,-2.25,1.53,1.04
Pt-M-Pt-Ni,1.163932,0.8794987009999999,-2.282454765,1.8966792769999998,0.501348302,3.493407229,2.162043378,9.0,2.13,2.28,6.74,-2.25,1.53,1.04
Pt-M-Pt-Cu,1.288558,0.881787586,-2.034902404,1.865579537,0.38974635700000004,3.429734318,2.1586412569999998,9.0,2.13,2.28,6.74,-2.25,1.53,1.04
Pt-M-Pt-Y,1.559089,0.8847394690000001,-2.383708349,1.8599318880000002,0.855500855,4.378786143999999,1.890002341,9.0,2.13,2.28,6.74,-2.25,1.53,1.04
Pt-M-Pt-Zr,1.297735,0.884033746,-2.630025362,1.9733282909999998,0.9229781440000001,4.317695521,1.939589772,9.0,2.13,2.28,6.74,-2.25,1.53,1.04
Pt-M-Pt-Nb,0.993091,0.880617848,-2.747025825,2.044424754,0.850126485,3.928783293,2.050172424,9.0,2.13,2.28,6.74,-2.25,1.53,1.04
Pt-M-Pt-Mo,0.8705959999999999,0.8736080509999999,-2.682044989,2.02531532,0.6927789240000001,3.550061085,2.243316333,9.0,2.13,2.28,6.74,-2.25,1.53,1.04
Pt-M-Pt-Ru,0.881776,0.874957462,-2.416849692,1.9323878019999998,0.44049720600000003,3.2948803160000004,2.25569926,9.0,2.13,2.28,6.74,-2.25,1.53,1.04
Pt-M-Pt-Rh,0.9804959999999999,0.872095499,-2.279423625,1.915094368,0.395119899,3.3058098639999995,2.28,9.0,2.13,2.28,6.74,-2.25,1.53,1.04
Pt-M-Pt-Pd,1.031016,0.87699701,-1.988884825,1.8234083330000002,0.317361758,3.359763627,2.25569926,9.0,2.13,2.28,6.74,-2.25,1.53,1.04
Pt-M-Pt-Ag,1.2777049999999999,0.8780293309999999,-1.7486821190000001,1.781533025,0.18598671,3.5449529660000003,2.1688103919999997,9.0,2.13,2.28,6.74,-2.25,1.53,1.04
Pt-M-Pt-Ta,0.8906860000000001,0.873709795,-2.796791783,2.1192861030000003,0.8361206520000001,3.876242351,2.0108597009999998,9.0,2.13,2.28,6.74,-2.25,1.53,1.04
Pt-M-Pt-W,0.786914,0.87457943,-2.8182772060000003,2.134697235,0.711268435,3.602842883,2.303710988,9.0,2.13,2.28,6.74,-2.25,1.53,1.04
Pt-M-Pt-Re,0.628129,0.873880558,-2.7158087689999997,2.105950009,0.51444377,3.272314942,2.1586412569999998,9.0,2.13,2.28,6.74,-2.25,1.53,1.04
Pt-M-Pt-Os,0.689617,0.874819302,-2.595754507,2.057533526,0.37167417700000005,3.1672090460000004,2.25569926,9.0,2.13,2.28,6.74,-2.25,1.53,1.04
Pt-M-Pt-Ir,0.8801329999999999,0.873547972,-2.433655996,2.01247543,0.27430120399999997,3.1824519639999997,2.25569926,9.0,2.13,2.28,6.74,-2.25,1.53,1.04
Pt-M-Pt-Au,1.116027,0.8799302,-1.850864183,1.826204395,0.08626699199999999,3.424493001,2.355073729,9.0,2.13,2.28,6.74,-2.25,1.53,1.04
Pd-M-Pd-Ti,0.981554,0.922739833,-2.564267101,1.561574165,1.193481733,5.165323494,1.976751572,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
Pd-M-Pd-V,0.8629379999999999,0.915035898,-2.591619545,1.597598654,1.049632634,4.614176068,2.010722593,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
Pd-M-Pd-Co,1.018117,0.9201924140000001,-2.158040426,1.509063131,0.6744423340000001,4.361195152,2.098665539,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
Pd-M-Pd-Ni,1.072025,0.919277757,-1.988019881,1.4912597140000001,0.659383685,4.322634594,2.108656732,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
Pd-M-Pd-Cu,1.195662,0.9229777790000001,-1.742842651,1.4544438919999998,0.540186402,4.282721801,2.105338619,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
Pd-M-Pd-Y,1.4807540000000001,0.923394497,-2.1999911880000003,1.4522658590000002,1.2115003579999999,5.845340577999999,1.843333118,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
Pd-M-Pd-Zr,1.154787,0.920401403,-2.388929644,1.565084761,1.249585206,5.721240021,1.8916961019999998,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
