name,filling,center,sigma_c,skewness,kurtosis,local_Pauling,IonizationPotential,ElectronAffinity,Pauling,WorkFunction,dBandCenter,AtomicRadius,OrbitalRadius
Ni3Pt-Ni,0.879190819,-1.433048638,1.47097846,0.082128554,4.815746409,1.97885359,7.64,1.16,1.91,5.77,-1.29,1.38,0.71
Ni3Au-Ni,0.879199073,-1.388931657,1.455020903,-0.001552406,5.143550449,2.022057202,7.64,1.16,1.91,5.77,-1.29,1.38,0.71
Cu3Sc-Cu,0.969145604,-2.909931694,1.110859033,1.874567907,10.94859251,1.777095072,7.73,1.24,1.9,5.3,-2.67,1.41,0.67
Cu3Ti-Cu,0.968327843,-2.883386311,1.093702855,1.676030104,10.29779941,1.821826542,7.73,1.24,1.9,5.3,-2.67,1.41,0.67
Cu3V-Cu,0.970063667,-2.689223718,1.103984625,1.599559132,10.16496062,1.842639606,7.73,1.24,1.9,5.3,-2.67,1.41,0.67
Cu3Cr-Cu,0.971914367,-2.552793137,1.092816996,1.517619983,10.26566907,1.849372938,7.73,1.24,1.9,5.3,-2.67,1.41,0.67
Cu3Mn-Cu,0.971222975,-2.665839261,1.092929541,1.371490407,10.01675512,1.824186429,7.73,1.24,1.9,5.3,-2.67,1.41,0.67
Cu3Fe-Cu,0.971413833,-2.518793097,1.063688217,1.263771892,9.780254214,1.885789003,7.73,1.24,1.9,5.3,-2.67,1.41,0.67
Cu3Co-Cu,0.970832428,-2.339818991,1.050355948,1.161363032,9.461156959,1.895983051,7.73,1.24,1.9,5.3,-2.67,1.41,0.67
Cu3Ni-Cu,0.97200655,-2.270503842,1.048942317,1.13078425,9.427457545,1.901995803,7.73,1.24,1.9,5.3,-2.67,1.41,0.67
Cu3Cu-Cu,0.972215011,-2.383479033,1.049691457,1.120221494,9.923558007,1.9,7.73,1.24,1.9,5.3,-2.67,1.41,0.67
Cu3Y-Cu,0.968463291,-2.89212118,1.126895384,2.02342588,11.58173508,1.738900959,7.73,1.24,1.9,5.3,-2.67,1.41,0.67
Cu3Zr-Cu,0.966227832,-3.123098952,1.178035148,1.92706818,10.56314936,1.769184839,7.73,1.24,1.9,5.3,-2.67,1.41,0.67
Cu3Nb-Cu,0.964717619,-3.008813145,1.168147223,1.696438631,9.761558257,1.83580639,7.73,1.24,1.9,5.3,-2.67,1.41,0.67
Cu3Mo-Cu,0.966676688,-2.762523247,1.154412934,1.45444753,8.956842935,1.949367095,7.73,1.24,1.9,5.3,-2.67,1.41,0.67
Cu3Ru-Cu,0.968105349,-2.322191188,1.109356186,1.085004073,8.071119658,1.956534079,7.73,1.24,1.9,5.3,-2.67,1.41,0.67
Cu3Rh-Cu,0.969400509,-2.206259247,1.104378785,0.953346362,7.880791731,1.97056085,7.73,1.24,1.9,5.3,-2.67,1.41,0.67
Cu3Pd-Cu,0.971675024,-2.213713346,1.089115575,0.805026759,8.024738835,1.956534079,7.73,1.24,1.9,5.3,-2.67,1.41,0.67
Cu3Ag-Cu,0.974797595,-2.457972904,1.101251685,0.697915648,9.246074699,1.90596246,7.73,1.24,1.9,5.3,-2.67,1.41,0.67
Cu3La-Cu,0.968844636,-2.840762749,1.100704459,2.041141162,12.06776225,1.703261845,7.73,1.24,1.9,5.3,-2.67,1.41,0.67
Cu3Ta-Cu,0.964371642,-3.130543065,1.201573947,1.69563175,9.903528771,1.812262619,7.73,1.24,1.9,5.3,-2.67,1.41,0.67
Cu3W-Cu,0.963873763,-2.8599695,1.182909845,1.468408172,9.095603252,1.984199251,7.73,1.24,1.9,5.3,-2.67,1.41,0.67
Cu3Re-Cu,0.966086158,-2.643060079,1.164376969,1.23512443,8.449744842,1.9,7.73,1.24,1.9,5.3,-2.67,1.41,0.67
Cu3Os-Cu,0.966826608,-2.415983184,1.145936729,1.043777771,7.997502764,1.956534079,7.73,1.24,1.9,5.3,-2.67,1.41,0.67
Cu3Ir-Cu,0.968415036,-2.268172308,1.135660571,0.867546442,7.721432903,1.956534079,7.73,1.24,1.9,5.3,-2.67,1.41,0.67
Cu3Pt-Cu,0.970204848,-2.25483637,1.136067361,0.650259919,7.628285776,1.97056085,7.73,1.24,1.9,5.3,-2.67,1.41,0.67
Cu3Au-Cu,0.97405628,-2.455049516,1.151775894,0.449089316,8.633955688,2.013583409,7.73,1.24,1.9,5.3,-2.67,1.41,0.67
Ru3Sc-Ru,0.730880975,-1.278243649,2.056841765,0.352219215,2.755321127,1.998232077,7.36,1.05,2.2,5.73,-1.41,1.48,1.05
Ru3Ti-Ru,0.730194256,-1.323193199,2.036738519,0.251358886,2.586392091,2.048529813,7.36,1.05,2.2,5.73,-1.41,1.48,1.05
Ru3V-Ru,0.722917059,-1.359684142,2.038241041,0.171411463,2.499806529,2.0719328,7.36,1.05,2.2,5.73,-1.41,1.48,1.05
Ru3Cr-Ru,0.722059693,-1.345538141,2.032874716,0.182760253,2.556978405,2.07950401,7.36,1.05,2.2,5.73,-1.41,1.48,1.05
Ru3Mn-Ru,0.715620259,-1.390517489,2.021740758,0.134584749,2.539750134,2.051183358,7.36,1.05,2.2,5.73,-1.41,1.48,1.05
Ru3Fe-Ru,0.721825574,-1.382473367,2.008946858,0.130553302,2.598164805,2.120451593,7.36,1.05,2.2,5.73,-1.41,1.48,1.05
Ru3Co-Ru,0.714829903,-1.370356688,2.003624931,0.118480942,2.602678501,2.131914162,7.36,1.05,2.2,5.73,-1.41,1.48,1.05
Ru3Ni-Ru,0.718248932,-1.394565044,2.000712212,0.125688676,2.62569175,2.138675125,7.36,1.05,2.2,5.73,-1.41,1.48,1.05
Ru3Y-Ru,0.725747478,-1.245941308,2.071941469,0.419232824,2.89302924,1.95528519,7.36,1.05,2.2,5.73,-1.41,1.48,1.05
Ru3Zr-Ru,0.732369987,-1.292276989,2.140757593,0.401131109,2.749914836,1.989337516,7.36,1.05,2.2,5.73,-1.41,1.48,1.05
Ru3Nb-Ru,0.721989704,-1.328588819,2.135239993,0.273244975,2.547407597,2.064249277,7.36,1.05,2.2,5.73,-1.41,1.48,1.05
Ru3Mo-Ru,0.719988685,-1.385007847,2.120011577,0.185819231,2.470637995,2.191941175,7.36,1.05,2.2,5.73,-1.41,1.48,1.05
Ru3Ru-Ru,0.705151956,-1.408756268,2.07756513,0.107570537,2.469496521,2.2,7.36,1.05,2.2,5.73,-1.41,1.48,1.05
Ru3Rh-Ru,0.71440768,-1.410064932,2.058619053,0.08131801,2.486593645,2.215772225,7.36,1.05,2.2,5.73,-1.41,1.48,1.05
Ru3Pd-Ru,0.717564023,-1.395499627,2.03697121,0.053333845,2.552142981,2.2,7.36,1.05,2.2,5.73,-1.41,1.48,1.05
Ru3Ag-Ru,0.721497261,-1.394879112,2.038084495,0.023190854,2.717318618,2.143135383,7.36,1.05,2.2,5.73,-1.41,1.48,1.05
Ru3La-Ru,0.729333964,-1.253935261,2.057522422,0.387819568,2.83194009,1.915211239,7.36,1.05,2.2,5.73,-1.41,1.48,1.05
Ru3Ta-Ru,0.725461456,-1.337754085,2.170733921,0.299789549,2.622742936,2.037775782,7.36,1.05,2.2,5.73,-1.41,1.48,1.05
Ru3W-Ru,0.723141045,-1.404783843,2.164549958,0.195838761,2.519215941,2.231107752,7.36,1.05,2.2,5.73,-1.41,1.48,1.05
Ru3Re-Ru,0.724599358,-1.470263974,2.106760577,0.045900399,2.351616652,2.13643097,7.36,1.05,2.2,5.73,-1.41,1.48,1.05
Ru3Os-Ru,0.714829456,-1.436747345,2.133868373,0.072932474,2.502118332,2.2,7.36,1.05,2.2,5.73,-1.41,1.48,1.05
Ru3Ir-Ru,0.714301383,-1.433379866,2.121708039,0.038414588,2.52346893,2.2,7.36,1.05,2.2,5.73,-1.41,1.48,1.05
Ru3Pt-Ru,0.716309049,-1.425155007,2.103725795,0.003704741,2.565793206,2.215772225,7.36,1.05,2.2,5.73,-1.41,1.48,1.05
Ru3Au-Ru,0.713714107,-1.391779635,2.087842481,-0.053649285,2.719198568,2.264148397,7.36,1.05,2.2,5.73,-1.41,1.48,1.05
Rh3Sc-Rh,0.811779097,-1.58623184,1.914470146,0.580290777,3.426608701,2.056154096,7.46,1.14,2.28,5.91,-1.73,1.49,0.99
Rh3V-Rh,0.807609014,-1.683494366,1.869684516,0.390628668,3.186295408,2.131991154,7.46,1.14,2.28,5.91,-1.73,1.49,0.99
Rh3Cr-Rh,0.806203869,-1.648138598,1.867545726,0.400836642,3.248044903,2.139781829,7.46,1.14,2.28,5.91,-1.73,1.49,0.99
Rh3Mn-Rh,0.80471425,-1.693325019,1.845678126,0.33877912,3.244418222,2.110640257,7.46,1.14,2.28,5.91,-1.73,1.49,0.99
Rh3Fe-Rh,0.80971611,-1.617286429,1.834941048,0.312598792,3.283353618,2.181916344,7.46,1.14,2.28,5.91,-1.73,1.49,0.99
Rh3Co-Rh,0.805701446,-1.622058388,1.824448028,0.299568048,3.275386411,2.193711174,7.46,1.14,2.28,5.91,-1.73,1.49,0.99
Rh3Ni-Rh,0.800970121,-1.608710827,1.813675291,0.292487904,3.290904118,2.200668115,7.46,1.14,2.28,5.91,-1.73,1.49,0.99
Rh3Cu-Rh,0.81082996,-1.588065698,1.813957256,0.277311595,3.322300921,2.198358909,7.46,1.14,2.28,5.91,-1.73,1.49,0.99
Rh3Y-Rh,0.812554507,-1.563664131,1.985296401,0.735064046,3.725876771,2.011962323,7.46,1.14,2.28,5.91,-1.73,1.49,0.99
Rh3Zr-Rh,0.810691377,-1.680921579,1.990821722,0.591848422,3.283162996,2.047001712,7.46,1.14,2.28,5.91,-1.73,1.49,0.99
Rh3Nb-Rh,0.80483163,-1.729566096,1.9764749,0.450720157,3.069425682,2.124084913,7.46,1.14,2.28,5.91,-1.73,1.49,0.99
Rh3Mo-Rh,0.802195276,-1.725531656,1.942072924,0.374485449,3.057460767,2.255478169,7.46,1.14,2.28,5.91,-1.73,1.49,0.99
Rh3Ru-Rh,0.803631998,-1.723578006,1.887831026,0.29126021,3.088376834,2.263770592,7.46,1.14,2.28,5.91,-1.73,1.49,0.99
Rh3Rh-Rh,0.790923346,-1.695593342,1.876600066,0.260073181,3.119721635,2.28,7.46,1.14,2.28,5.91,-1.73,1.49,0.99
Rh3Pd-Rh,0.806634106,-1.646890507,1.854589421,0.222037045,3.147889414,2.263770592,7.46,1.14,2.28,5.91,-1.73,1.49,0.99
Rh3Ag-Rh,0.806393338,-1.586673601,1.851997753,0.180322002,3.29484447,2.205257661,7.46,1.14,2.28,5.91,-1.73,1.49,0.99
Rh3La-Rh,0.811047559,-1.555559447,1.962453718,0.710014909,3.693126292,1.970726764,7.46,1.14,2.28,5.91,-1.73,1.49,0.99
Rh3Ta-Rh,0.806853391,-1.715112167,2.003896839,0.462874013,3.121976371,2.096844039,7.46,1.14,2.28,5.91,-1.73,1.49,0.99
Rh3W-Rh,0.804048572,-1.737801401,1.986658603,0.366086583,3.066595877,2.295780053,7.46,1.14,2.28,5.91,-1.73,1.49,0.99
Rh3Re-Rh,0.799364072,-1.723529238,1.962752645,0.290244862,3.059286387,2.198358909,7.46,1.14,2.28,5.91,-1.73,1.49,0.99
Rh3Os-Rh,0.802523581,-1.75327642,1.943175763,0.249001135,3.079625177,2.263770592,7.46,1.14,2.28,5.91,-1.73,1.49,0.99
Rh3Ir-Rh,0.802187261,-1.725086647,1.925214271,0.207402251,3.100361905,2.263770592,7.46,1.14,2.28,5.91,-1.73,1.49,0.99
Rh3Pt-Rh,0.802231489,-1.690544849,1.914986669,0.1581508,3.111122789,2.28,7.46,1.14,2.28,5.91,-1.73,1.49,0.99
Rh3Au-Rh,0.80631232,-1.645076711,1.90586518,0.102911356,3.23911744,2.329778435,7.46,1.14,2.28,5.91,-1.73,1.49,0.99
Pd3Sc-Pd,0.931709756,-1.932244364,1.500282324,0.892104614,4.757391778,1.998232077,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
Pd3Ti-Pd,0.931095304,-1.940501832,1.449695317,0.638846396,4.269892955,2.048529813,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
Pd3V-Pd,0.927181344,-1.915751811,1.447682374,0.636844487,4.352362075,2.0719328,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
Pd3Cr-Pd,0.92776815,-1.826464455,1.44278648,0.665112353,4.499105555,2.07950401,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
Pd3Mn-Pd,0.923629856,-1.748570855,1.444063185,0.580785747,4.4366255,2.051183358,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
Pd3Fe-Pd,0.926925191,-1.809425924,1.419901725,0.498982866,4.409729092,2.120451593,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
Pd3Co-Pd,0.926205016,-1.781849524,1.406131814,0.479802628,4.381421502,2.131914162,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
Pd3Ni-Pd,0.925359601,-1.732940502,1.391318954,0.498403538,4.401166076,2.138675125,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
Pd3Cu-Pd,0.924676577,-1.655277019,1.390022769,0.455724835,4.354900088,2.13643097,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
Pd3Y-Pd,0.92881967,-1.984438758,1.582044903,1.144515318,5.393274271,1.95528519,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
Pd3Zr-Pd,0.928823642,-2.057049537,1.565034358,0.876159537,4.573267347,1.989337516,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
Pd3Nb-Pd,0.924406649,-2.048164269,1.530337422,0.68130575,4.226247699,2.064249277,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
Pd3Mo-Pd,0.92067518,-2.025995587,1.504658133,0.580573725,4.081476435,2.191941175,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
Pd3Ru-Pd,0.913296379,-1.806468199,1.464022908,0.455094872,3.950162785,2.2,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
Pd3Rh-Pd,0.916058631,-1.778549807,1.442502661,0.449811372,4.03831577,2.215772225,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
Pd3Pd-Pd,0.917306575,-1.711053007,1.426094341,0.39040219,3.983247775,2.2,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
Pd3Ag-Pd,0.923728678,-1.66870642,1.430040477,0.297459409,4.274862389,2.143135383,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
Pd3La-Pd,0.931441742,-2.085015548,1.602425321,1.22317145,5.586723722,1.915211239,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
Pd3Ta-Pd,0.925091854,-2.084023729,1.58011849,0.694533621,4.338771222,2.037775782,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
Pd3W-Pd,0.920583122,-2.083367493,1.553972256,0.565956182,4.150525262,2.231107752,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
Pd3Re-Pd,0.91976219,-2.039749389,1.523771795,0.470635272,4.054535863,2.13643097,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
Pd3Os-Pd,0.918955605,-1.941374075,1.505668601,0.409063876,3.991755321,2.2,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
Pd3Ir-Pd,0.915426087,-1.835371298,1.48584562,0.376086986,3.985197433,2.2,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
Pd3Pt-Pd,0.914508577,-1.7351046,1.473621942,0.308697274,3.939231419,2.215772225,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
Pd3Au-Pd,0.924417279,-1.714304105,1.474173161,0.201717977,4.139929088,2.264148397,8.34,0.56,2.2,5.9,-1.83,1.52,0.94
Ag3Sc-Ag,0.978254863,-4.270200994,1.166176322,2.813299475,16.62444853,1.799507367,7.58,1.3,1.93,5.01,-4.3,1.59,0.89
Ag3Ti-Ag,0.979660749,-4.156952191,1.131139023,2.701952577,16.65241644,1.84480298,7.58,1.3,1.93,5.01,-4.3,1.59,0.89
Ag3V-Ag,0.980625956,-4.026335533,1.144659823,2.775841052,17.19526592,1.865878533,7.58,1.3,1.93,5.01,-4.3,1.59,0.89
Ag3Cr-Ag,0.981817908,-4.036279661,1.139233298,2.784824222,17.61145158,1.872696785,7.58,1.3,1.93,5.01,-4.3,1.59,0.89
Ag3Mn-Ag,0.980472943,-4.097314156,1.149148598,2.704883567,17.41295842,1.847192629,7.58,1.3,1.93,5.01,-4.3,1.59,0.89
Ag3Fe-Ag,0.982298607,-4.012197121,1.122512912,2.691290047,17.68191822,1.909572119,7.58,1.3,1.93,5.01,-4.3,1.59,0.89
Ag3Co-Ag,0.981962618,-3.872489175,1.111071306,2.635300937,17.4422387,1.919894732,7.58,1.3,1.93,5.01,-4.3,1.59,0.89
Ag3Ni-Ag,0.982242023,-3.761774341,1.099522781,2.59112115,17.31508273,1.925983316,7.58,1.3,1.93,5.01,-4.3,1.59,0.89
Ag3Cu-Ag,0.982716044,-3.939138431,1.11767015,2.623864385,17.59920878,1.923962343,7.58,1.3,1.93,5.01,-4.3,1.59,0.89
Ag3Y-Ag,0.975707449,-4.449027823,1.250835088,3.0200657,16.97813076,1.760831559,7.58,1.3,1.93,5.01,-4.3,1.59,0.89
Ag3Zr-Ag,0.97502811,-4.331919951,1.225727059,2.755392675,15.40003421,1.791497372,7.58,1.3,1.93,5.01,-4.3,1.59,0.89
Ag3Nb-Ag,0.977199187,-4.06645679,1.195637779,2.621334859,14.86989587,1.858959139,7.58,1.3,1.93,5.01,-4.3,1.59,0.89
Ag3Mo-Ag,0.978942192,-3.970161369,1.17103182,2.568835676,15.00246992,1.973952044,7.58,1.3,1.93,5.01,-4.3,1.59,0.89
Ag3Ru-Ag,0.980374166,-3.720817885,1.128349381,2.322721249,14.17521307,1.981209416,7.58,1.3,1.93,5.01,-4.3,1.59,0.89
Ag3Rh-Ag,0.981044022,-3.594636147,1.109547443,2.310701949,14.44291884,1.995413089,7.58,1.3,1.93,5.01,-4.3,1.59,0.89
Ag3Pd-Ag,0.982699042,-3.714534202,1.107276213,2.299878747,14.83519929,1.981209416,7.58,1.3,1.93,5.01,-4.3,1.59,0.89
Ag3Ag-Ag,0.979916496,-3.976128879,1.130815859,2.414728581,16.55953151,1.93,7.58,1.3,1.93,5.01,-4.3,1.59,0.89
Ag3La-Ag,0.975953711,-4.520591363,1.252763998,3.070436695,17.18699023,1.724742973,7.58,1.3,1.93,5.01,-4.3,1.59,0.89
Ag3Ta-Ag,0.975093568,-4.146718126,1.218580536,2.644294184,15.07085469,1.835118439,7.58,1.3,1.93,5.01,-4.3,1.59,0.89
Ag3W-Ag,0.97720818,-3.946617165,1.203537371,2.533925101,14.59395807,2.009223494,7.58,1.3,1.93,5.01,-4.3,1.59,0.89
Ag3Re-Ag,0.978621741,-3.908594227,1.187472676,2.397832035,14.09608528,1.923962343,7.58,1.3,1.93,5.01,-4.3,1.59,0.89
Ag3Os-Ag,0.979379869,-3.74147352,1.168470584,2.299947458,13.68966187,1.981209416,7.58,1.3,1.93,5.01,-4.3,1.59,0.89
Ag3Ir-Ag,0.979910356,-3.559571376,1.141321384,2.262973806,13.72630321,1.981209416,7.58,1.3,1.93,5.01,-4.3,1.59,0.89
Ag3Pt-Ag,0.981583034,-3.676651455,1.144618876,2.24142356,14.03889501,1.995413089,7.58,1.3,1.93,5.01,-4.3,1.59,0.89
Ag3Au-Ag,0.982875282,-3.943213471,1.157285759,2.249859135,15.05372875,2.038978238,7.58,1.3,1.93,5.01,-4.3,1.59,0.89
Os3Sc-Os,0.711192698,-1.543644342,2.605191994,0.174942204,2.44158311,1.998232077,8.7,1.1,2.2,6.25,-1.5,1.49,1.13
Os3Ti-Os,0.708353529,-1.579781083,2.624059846,0.132580629,2.362131449,2.048529813,8.7,1.1,2.2,6.25,-1.5,1.49,1.13
Os3V-Os,0.70133511,-1.637933286,2.640039215,0.077794688,2.29284969,2.0719328,8.7,1.1,2.2,6.25,-1.5,1.49,1.13
Os3Cr-Os,0.699439522,-1.616011382,2.62621359,0.071937086,2.315179855,2.07950401,8.7,1.1,2.2,6.25,-1.5,1.49,1.13
Os3Mn-Os,0.698905867,-1.611639174,2.616552672,0.069575725,2.330619443,2.051183358,8.7,1.1,2.2,6.25,-1.5,1.49,1.13
Os3Fe-Os,0.694613823,-1.640040876,2.604120917,0.04835669,2.33520544,2.120451593,8.7,1.1,2.2,6.25,-1.5,1.49,1.13
Os3Co-Os,0.691747163,-1.675842274,2.615427754,0.040779293,2.324018564,2.131914162,8.7,1.1,2.2,6.25,-1.5,1.49,1.13
Os3Ni-Os,0.692687325,-1.698220682,2.612267278,0.046199972,2.341978631,2.138675125,8.7,1.1,2.2,6.25,-1.5,1.49,1.13
Os3Cu-Os,0.694440187,-1.673846115,2.589725594,0.044230701,2.37828228,2.13643097,8.7,1.1,2.2,6.25,-1.5,1.49,1.13
