ID,Equation,Energy,Facet,Chemical_Composition,N_ve_met,CE_met (eV),Surf_en_met (J/m2),WF_met (eV),IE_met (eV),EA_met (eV),Atom_radius_met (A),Electroneg_met,HOMO_mol (eV),LUMO_mol (eV),IE_mol (eV),EA_mol (eV),Gap_mol (eV),Mol Mass (g/mol),Coordinates_Available
UmVhY3Rpb246NzEw,NO(g) + * -> NO*,-0.255,211,Au,11,3.81,0.82,4.96,9.22,2.31,1.74,2.54,-6.02,-2.57,6.02,2.57,3.45,30.01,False
UmVhY3Rpb246MzM5NTUy,H2O(g) + * -> H2O*,-0.147876455981645,111,Cu12,11,3.49,1.34,4.71,7.23,1.23,1.45,1.9,-7.81,1.94,7.81,-1.94,9.75,18.02,True
UmVhY3Rpb246NzA0,H2O(g) + * -> H2O*,-0.184,211,Cu,11,3.49,1.63,4.22,7.23,1.23,1.45,1.9,-7.81,1.94,7.81,-1.94,9.75,18.02,False
UmVhY3Rpb246NzA2,O2(g) + * -> O2*,-0.21,111,Cu,11,3.49,1.34,4.71,7.23,1.23,1.45,1.9,-8.27,-2.94,8.27,2.94,5.33,32.0,False
UmVhY3Rpb246NzAz,HCN(g) + * -> HCN*,-0.177,211,Cu,11,3.49,1.63,4.22,7.23,1.23,1.45,1.9,-9.97,0.32,9.97,-0.32,10.29,27.03,False
UmVhY3Rpb246NDMxNjAy,CO(g) + * -> CO*,-0.91316513000001,111,Cu16,11,3.49,1.34,4.71,7.23,1.23,1.45,1.9,-10.0,-0.49,10.0,0.49,9.51,28.01,True
UmVhY3Rpb246NDMzNTYy,CO(g) + * -> CO*,-0.722366279999989,100,Cu64,11,3.49,1.47,4.47,7.23,1.23,1.45,1.9,-10.0,-0.49,10.0,0.49,9.51,28.01,True
UmVhY3Rpb246NDMzNTgw,CO(g) + * -> CO*,-0.392341070000015,110,Cu45,11,3.49,1.56,4.2,7.23,1.23,1.45,1.9,-10.0,-0.49,10.0,0.49,9.51,28.01,True
UmVhY3Rpb246NDMzNjEy,CO(g) + * -> CO*,-2.35552932,211,Cu36,11,3.49,1.63,4.22,7.23,1.23,1.45,1.9,-10.0,-0.49,10.0,0.49,9.51,28.01,True
UmVhY3Rpb246NzM1,CO(g) + * -> CO*,-0.657,211,Cu,11,3.49,1.63,4.22,7.23,1.23,1.45,1.9,-10.0,-0.49,10.0,0.49,9.51,28.01,False
UmVhY3Rpb246Njcw,CH2CH2(g) + * -> CH2CH2*,0.044,211,Cu,11,3.49,1.63,4.22,7.23,1.23,1.45,1.9,-7.18,0.56,7.18,-0.56,7.74,28.05,False
UmVhY3Rpb246NzQz,NO(g) + * -> NO*,-0.825,211,Cu,11,3.49,1.63,4.22,7.23,1.23,1.45,1.9,-6.02,-2.57,6.02,2.57,3.45,30.01,False
UmVhY3Rpb246NzQx,NO(g) + * -> NO*,-0.785,311,Cu,11,3.49,1.54,4.28,7.23,1.23,1.45,1.9,-6.02,-2.57,6.02,2.57,3.45,30.01,False
UmVhY3Rpb246NzM5,NO(g) + * -> NO*,-0.715,111,Cu,11,3.49,1.34,4.71,7.23,1.23,1.45,1.9,-6.02,-2.57,6.02,2.57,3.45,30.01,False
UmVhY3Rpb246NzQw,NO(g) + * -> NO*,-0.735,110,Cu,11,3.49,1.56,4.2,7.23,1.23,1.45,1.9,-6.02,-2.57,6.02,2.57,3.45,30.01,False
UmVhY3Rpb246Njk2,H2O(g) + * -> H2O*,-0.13872,211,Pt,10,5.84,1.76,5.43,9.02,2.13,1.77,2.28,-7.81,1.94,7.81,-1.94,9.75,18.02,False
UmVhY3Rpb246Njgw,H2O(g) + * -> H2O*,-0.051,111,Pt,10,5.84,1.49,5.64,9.02,2.13,1.77,2.28,-7.81,1.94,7.81,-1.94,9.75,18.02,False
UmVhY3Rpb246NjM=,O(g) + * -> O*,-4.0678750636,111-(2x2),Pt4,10,5.84,1.49,5.64,9.02,2.13,1.77,2.28,-13.62,-1.46,13.62,1.46,12.16,16.0,True
UmVhY3Rpb246NzAw,O2(g) + * -> O2*,-0.17,111,Pt,10,5.84,1.49,5.64,9.02,2.13,1.77,2.28,-8.27,-2.94,8.27,2.94,5.33,32.0,False
UmVhY3Rpb246NDMzMDg3,NH3(g) + * -> NH3*,-0.910851861946867,111,Pt28,10,5.84,1.49,5.64,9.02,2.13,1.77,2.28,-7.2,0.54,7.2,-0.54,7.74,17.03,True
UmVhY3Rpb246NzUx,HCN(g) + * -> HCN*,-1.127,211,Pt,10,5.84,1.76,5.43,9.02,2.13,1.77,2.28,-9.97,0.32,9.97,-0.32,10.29,27.03,False
UmVhY3Rpb246NDM1NTU5,CO(g) + * -> CO*,-1.63812503986628,100,Pt16,10,5.84,1.86,5.68,9.02,2.13,1.77,2.28,-10.0,-0.49,10.0,0.49,9.51,28.01,True
UmVhY3Rpb246Nzcw,CO(g) + * -> CO*,-1.827,211,Pt,10,5.84,1.76,5.43,9.02,2.13,1.77,2.28,-10.0,-0.49,10.0,0.49,9.51,28.01,False
UmVhY3Rpb246NzM3,CH2CH2(g) + * -> CH2CH2*,-0.684,211,Pt,10,5.84,1.76,5.43,9.02,2.13,1.77,2.28,-7.18,0.56,7.18,-0.56,7.74,28.05,False
UmVhY3Rpb246NDM0MTEz,NO(g) + * -> NO*,-1.73308345380065,111,Pt45,10,5.84,1.49,5.64,9.02,2.13,1.77,2.28,-6.02,-2.57,6.02,2.57,3.45,30.01,True
UmVhY3Rpb246Nzgy,NO(g) + * -> NO*,-2.035,311,Pt,10,5.84,1.79,5.47,9.02,2.13,1.77,2.28,-6.02,-2.57,6.02,2.57,3.45,30.01,False
UmVhY3Rpb246Nzcy,NO(g) + * -> NO*,-1.865,110,Pt,10,5.84,1.87,5.19,9.02,2.13,1.77,2.28,-6.02,-2.57,6.02,2.57,3.45,30.01,False
UmVhY3Rpb246Nzc0,NO(g) + * -> NO*,-1.885,211,Pt,10,5.84,1.76,5.43,9.02,2.13,1.77,2.28,-6.02,-2.57,6.02,2.57,3.45,30.01,False
UmVhY3Rpb246Njc5,H2O(g) + * -> H2O*,-0.046,111,Ni,10,4.44,1.92,5.1,7.64,1.16,1.49,1.91,-7.81,1.94,7.81,-1.94,9.75,18.02,False
UmVhY3Rpb246NzE2,H2O(g) + * -> H2O*,-0.321,211,Ni,10,4.44,2.24,4.66,7.64,1.16,1.49,1.91,-7.81,1.94,7.81,-1.94,9.75,18.02,False
UmVhY3Rpb246NzQ4,O2(g) + * -> O2*,-0.97,111,Ni,10,4.44,1.92,5.1,7.64,1.16,1.49,1.91,-8.27,-2.94,8.27,2.94,5.33,32.0,False
UmVhY3Rpb246NDMzMDQ1,NH3(g) + * -> NH3*,-0.907854595890967,211,Ni36,10,4.44,2.24,4.66,7.64,1.16,1.49,1.91,-7.2,0.54,7.2,-0.54,7.74,17.03,True
UmVhY3Rpb246NzA5,NH3(g) + * -> NH3*,-0.25,111,Ni,10,4.44,1.92,5.1,7.64,1.16,1.49,1.91,-7.2,0.54,7.2,-0.54,7.74,17.03,False
UmVhY3Rpb246NDMzNTA3,CO(g) + * -> CO*,-1.85203202,211,Ni36,10,4.44,2.24,4.66,7.64,1.16,1.49,1.91,-10.0,-0.49,10.0,0.49,9.51,28.01,True
UmVhY3Rpb246NzU0,CO(g) + * -> CO*,-1.31,111,Ni,10,4.44,1.92,5.1,7.64,1.16,1.49,1.91,-10.0,-0.49,10.0,0.49,9.51,28.01,False
UmVhY3Rpb246Nzkw,NO(g) + * -> NO*,-2.235,211,Ni,10,4.44,2.24,4.66,7.64,1.16,1.49,1.91,-6.02,-2.57,6.02,2.57,3.45,30.01,False
UmVhY3Rpb246Nzg3,NO(g) + * -> NO*,-2.205,311,Ni,10,4.44,2.3,4.54,7.64,1.16,1.49,1.91,-6.02,-2.57,6.02,2.57,3.45,30.01,False
UmVhY3Rpb246Nzc5,NO(g) + * -> NO*,-1.995,111,Ni,10,4.44,1.92,5.1,7.64,1.16,1.49,1.91,-6.02,-2.57,6.02,2.57,3.45,30.01,False
UmVhY3Rpb246Nzg0,NO(g) + * -> NO*,-2.125,110,Ni,10,4.44,2.29,4.43,7.64,1.16,1.49,1.91,-6.02,-2.57,6.02,2.57,3.45,30.01,False
UmVhY3Rpb246NzAy,H2O(g) + * -> H2O*,-0.17528,211,Pd,10,3.89,1.61,4.92,8.34,0.56,1.69,2.2,-7.81,1.94,7.81,-1.94,9.75,18.02,False
UmVhY3Rpb246NTU=,O(g) + * -> O*,-3.23283347825,111-(1x1),Pd4,10,3.89,1.36,5.21,8.34,0.56,1.69,2.2,-13.62,-1.46,13.62,1.46,12.16,16.0,True
UmVhY3Rpb246NzIz,O2(g) + * -> O2*,-0.44,111,Pd,10,3.89,1.36,5.21,8.34,0.56,1.69,2.2,-8.27,-2.94,8.27,2.94,5.33,32.0,False
UmVhY3Rpb246NzIx,NH3(g) + * -> NH3*,-0.4,111,Pd,10,3.89,1.36,5.21,8.34,0.56,1.69,2.2,-7.2,0.54,7.2,-0.54,7.74,17.03,False
UmVhY3Rpb246NDMzNjcx,CO(g) + * -> CO*,-1.75503335999997,211,Pd36,10,3.89,1.61,4.92,8.34,0.56,1.69,2.2,-10.0,-0.49,10.0,0.49,9.51,28.01,True
UmVhY3Rpb246ODI3MTQ=,CO(g) + * -> CO*,-1.74274934594,111,Pd36,10,3.89,1.36,5.21,8.34,0.56,1.69,2.2,-10.0,-0.49,10.0,0.49,9.51,28.01,True
UmVhY3Rpb246NDMxNjE4,NO(g) + * -> NO*,-2.19288840000002,100,Pd16,10,3.89,1.52,5.13,8.34,0.56,1.69,2.2,-6.02,-2.57,6.02,2.57,3.45,30.01,True
UmVhY3Rpb246Nzcx,NO(g) + * -> NO*,-1.845,311,Pd,10,3.89,1.57,4.89,8.34,0.56,1.69,2.2,-6.02,-2.57,6.02,2.57,3.45,30.01,False
UmVhY3Rpb246NzY4,NO(g) + * -> NO*,-1.765,110,Pd,10,3.89,1.57,4.63,8.34,0.56,1.69,2.2,-6.02,-2.57,6.02,2.57,3.45,30.01,False
UmVhY3Rpb246NzY3,NO(g) + * -> NO*,-1.755,111,Pd,10,3.89,1.36,5.21,8.34,0.56,1.69,2.2,-6.02,-2.57,6.02,2.57,3.45,30.01,False
UmVhY3Rpb246NzY5,NO(g) + * -> NO*,-1.825,211,Pd,10,3.89,1.61,4.92,8.34,0.56,1.69,2.2,-6.02,-2.57,6.02,2.57,3.45,30.01,False
UmVhY3Rpb246Njkx,H2O(g) + * -> H2O*,-0.105,111,Rh,9,5.75,1.98,5.15,7.46,1.14,1.73,2.28,-7.81,1.94,7.81,-1.94,9.75,18.02,False
UmVhY3Rpb246NzE0,H2O(g) + * -> H2O*,-0.28466,211,Rh,9,5.75,2.31,4.75,7.46,1.14,1.73,2.28,-7.81,1.94,7.81,-1.94,9.75,18.02,False
UmVhY3Rpb246NjQ=,O(g) + * -> O*,-4.23991619454,111-(1x1),Rh4,9,5.75,1.98,5.15,7.46,1.14,1.73,2.28,-13.62,-1.46,13.62,1.46,12.16,16.0,True
UmVhY3Rpb246NzUw,O2(g) + * -> O2*,-1.1,111,Rh,9,5.75,1.98,5.15,7.46,1.14,1.73,2.28,-8.27,-2.94,8.27,2.94,5.33,32.0,False
UmVhY3Rpb246NDMzMDk5,NH3(g) + * -> NH3*,-0.750544354421436,111,Rh28,9,5.75,1.98,5.15,7.46,1.14,1.73,2.28,-7.2,0.54,7.2,-0.54,7.74,17.03,True
UmVhY3Rpb246NzU5,HCN(g) + * -> HCN*,-1.507,211,Rh,9,5.75,2.31,4.75,7.46,1.14,1.73,2.28,-9.97,0.32,9.97,-0.32,10.29,27.03,False
UmVhY3Rpb246NDM1NTgx,CO(g) + * -> CO*,-1.75217149209493,100,Rh16,9,5.75,2.35,5.01,7.46,1.14,1.73,2.28,-10.0,-0.49,10.0,0.49,9.51,28.01,True
UmVhY3Rpb246Nzcz,CO(g) + * -> CO*,-1.867,211,Rh,9,5.75,2.31,4.75,7.46,1.14,1.73,2.28,-10.0,-0.49,10.0,0.49,9.51,28.01,False
UmVhY3Rpb246Nzgw,NO(g) + * -> NO*,-2.015,111,Rh,9,5.75,1.98,5.15,7.46,1.14,1.73,2.28,-6.02,-2.57,6.02,2.57,3.45,30.01,False
UmVhY3Rpb246Nzkz,NO(g) + * -> NO*,-2.365,311,Rh,9,5.75,2.39,4.65,7.46,1.14,1.73,2.28,-6.02,-2.57,6.02,2.57,3.45,30.01,False
UmVhY3Rpb246Nzk1,NO(g) + * -> NO*,-2.395,211,Rh,9,5.75,2.31,4.75,7.46,1.14,1.73,2.28,-6.02,-2.57,6.02,2.57,3.45,30.01,False
UmVhY3Rpb246Nzkx,NO(g) + * -> NO*,-2.265,110,Rh,9,5.75,2.33,4.27,7.46,1.14,1.73,2.28,-6.02,-2.57,6.02,2.57,3.45,30.01,False
UmVhY3Rpb246MzM5Mjk0,H2O(g) + * -> H2O*,-0.539957122677265,111,Zr12,4,6.25,1.49,4.18,6.63,0.43,2.06,1.33,-7.81,1.94,7.81,-1.94,9.75,18.02,True
UmVhY3Rpb246MzM5NzQx,H2O(g) + * -> H2O*,-0.103747482777294,111,Sn12,4,3.14,0.65,4.13,7.34,1.11,1.45,1.96,-7.81,1.94,7.81,-1.94,9.75,18.02,True
UmVhY3Rpb246Njg5,H2O(g) + * -> H2O*,-0.091,111,Ir,9,6.94,2.36,5.42,9.12,1.57,1.8,2.2,-7.81,1.94,7.81,-1.94,9.75,18.02,False
UmVhY3Rpb246NzEz,H2O(g) + * -> H2O*,-0.281,211,Ir,9,6.94,2.71,5.21,9.12,1.57,1.8,2.2,-7.81,1.94,7.81,-1.94,9.75,18.02,False
UmVhY3Rpb246NDMyOTcz,NH3(g) + * -> NH3*,-1.19592363793345,211,Ir36,9,6.94,2.71,5.21,9.12,1.57,1.8,2.2,-7.2,0.54,7.2,-0.54,7.74,17.03,True
UmVhY3Rpb246NzM0,NH3(g) + * -> NH3*,-0.62,111,Ir,9,6.94,2.36,5.42,9.12,1.57,1.8,2.2,-7.2,0.54,7.2,-0.54,7.74,17.03,False
UmVhY3Rpb246MTc0NTE2,CO(g) + * -> CO*,-2.06981032991462,211,Ir48,9,6.94,2.71,5.21,9.12,1.57,1.8,2.2,-10.0,-0.49,10.0,0.49,9.51,28.01,True
UmVhY3Rpb246MTc0NTE4,CO(g) + * -> CO*,-1.80416659847106,111,Ir36,9,6.94,2.36,5.42,9.12,1.57,1.8,2.2,-10.0,-0.49,10.0,0.49,9.51,28.01,True
UmVhY3Rpb246NDM1Njc1,CO(g) + * -> CO*,-0.072703106467088,100,Bi16,3,2.18,0.15,4.01,7.29,0.94,1.43,2.02,-10.0,-0.49,10.0,0.49,9.51,28.01,True
UmVhY3Rpb246NzE4,H2O(g) + * -> H2O*,-0.367,211,Co,9,4.39,2.52,4.31,7.88,0.66,1.52,1.88,-7.81,1.94,7.81,-1.94,9.75,18.02,False
UmVhY3Rpb246Njgx,H2O(g) + * -> H2O*,-0.054,111,Co,9,4.39,2.04,4.98,7.88,0.66,1.52,1.88,-7.81,1.94,7.81,-1.94,9.75,18.02,False
UmVhY3Rpb246NDMzMDgx,NH3(g) + * -> NH3*,-0.900528338679578,211,Co36,9,4.39,2.52,4.31,7.88,0.66,1.52,1.88,-7.2,0.54,7.2,-0.54,7.74,17.03,True
UmVhY3Rpb246NzU4,NH3(g) + * -> NH3*,-1.45,111,Co,9,4.39,2.04,4.98,7.88,0.66,1.52,1.88,-7.2,0.54,7.2,-0.54,7.74,17.03,False
UmVhY3Rpb246NzYx,CO(g) + * -> CO*,-1.537,211,Co,9,4.39,2.52,4.31,7.88,0.66,1.52,1.88,-10.0,-0.49,10.0,0.49,9.51,28.01,False
UmVhY3Rpb246Nzc4,NO(g) + * -> NO*,-1.985,111,Co,9,4.39,2.04,4.98,7.88,0.66,1.52,1.88,-6.02,-2.57,6.02,2.57,3.45,30.01,False
UmVhY3Rpb246Nzgz,NO(g) + * -> NO*,-2.095,311,Co,9,4.39,3.28,4.51,7.88,0.66,1.52,1.88,-6.02,-2.57,6.02,2.57,3.45,30.01,False
UmVhY3Rpb246Nzg1,NO(g) + * -> NO*,-2.155,211,Co,9,4.39,2.52,4.31,7.88,0.66,1.52,1.88,-6.02,-2.57,6.02,2.57,3.45,30.01,False
UmVhY3Rpb246Nzgx,NO(g) + * -> NO*,-2.025,110,Co,9,4.39,2.42,4.25,7.88,0.66,1.52,1.88,-6.02,-2.57,6.02,2.57,3.45,30.01,False
UmVhY3Rpb246NzMw,H2O(g) + * -> H2O*,-0.569,211,Ru,8,6.74,2.87,4.37,7.36,1.05,1.78,2.2,-7.81,1.94,7.81,-1.94,9.75,18.02,False
UmVhY3Rpb246NzA1,H2O(g) + * -> H2O*,-0.207,111,Ru,8,6.74,2.39,4.94,7.36,1.05,1.78,2.2,-7.81,1.94,7.81,-1.94,9.75,18.02,False
UmVhY3Rpb246NzYy,O2(g) + * -> O2*,-1.58,111,Ru,8,6.74,2.39,4.94,7.36,1.05,1.78,2.2,-8.27,-2.94,8.27,2.94,5.33,32.0,False
UmVhY3Rpb246NzI4,NH3(g) + * -> NH3*,-0.56,111,Ru,8,6.74,2.39,4.94,7.36,1.05,1.78,2.2,-7.2,0.54,7.2,-0.54,7.74,17.03,False
UmVhY3Rpb246NDM1Njk1,CO(g) + * -> CO*,-1.83204166920586,100,Ru16,8,6.74,2.98,4.85,7.36,1.05,1.78,2.2,-10.0,-0.49,10.0,0.49,9.51,28.01,True
UmVhY3Rpb246NzY0,CO(g) + * -> CO*,-1.64,111,Ru,8,6.74,2.39,4.94,7.36,1.05,1.78,2.2,-10.0,-0.49,10.0,0.49,9.51,28.01,False
UmVhY3Rpb246Nzc3,CO(g) + * -> CO*,-1.957,211,Ru,8,6.74,2.87,4.37,7.36,1.05,1.78,2.2,-10.0,-0.49,10.0,0.49,9.51,28.01,False
UmVhY3Rpb246Nzk5,NO(g) + * -> NO*,-2.585,311,Ru,8,6.74,2.92,3.69,7.36,1.05,1.78,2.2,-6.02,-2.57,6.02,2.57,3.45,30.01,False
UmVhY3Rpb246Nzk2,NO(g) + * -> NO*,-2.445,110,Ru,8,6.74,2.81,4.28,7.36,1.05,1.78,2.2,-6.02,-2.57,6.02,2.57,3.45,30.01,False
UmVhY3Rpb246ODAw,NO(g) + * -> NO*,-2.585,211,Ru,8,6.74,2.87,4.37,7.36,1.05,1.78,2.2,-6.02,-2.57,6.02,2.57,3.45,30.01,False
UmVhY3Rpb246Nzk3,NO(g) + * -> NO*,-2.455,111,Ru,8,6.74,2.39,4.94,7.36,1.05,1.78,2.2,-6.02,-2.57,6.02,2.57,3.45,30.01,False
