ID,HOMO_character,HOMO_element,HOMO_energy,LUMO_character,LUMO_element,LUMO_energy,gap_AO
UmVhY3Rpb246NDMzNTc5,s,Cu,-0.172056,s,Cu,-0.172056,0.0
UmVhY3Rpb246NDMzNTgw,s,Cu,-0.172056,s,Cu,-0.172056,0.0
UmVhY3Rpb246NDMzNjEy,s,Cu,-0.172056,s,Cu,-0.172056,0.0
UmVhY3Rpb246NDMzNjE3,s,Cu,-0.172056,s,Cu,-0.172056,0.0
UmVhY3Rpb246NDMzNjE5,s,Cu,-0.172056,s,Cu,-0.172056,0.0
UmVhY3Rpb246NDMzNjMy,s,Cu,-0.172056,s,Cu,-0.172056,0.0
UmVhY3Rpb246NDMzNjQw,s,Cu,-0.172056,s,Cu,-0.172056,0.0
UmVhY3Rpb246NDMzNjQy,s,Cu,-0.172056,s,Cu,-0.172056,0.0
UmVhY3Rpb246NDMzNjQ4,s,Cu,-0.172056,s,Cu,-0.172056,0.0
UmVhY3Rpb246NDM1NTQ3,s,Cu,-0.172056,s,Cu,-0.172056,0.0
UmVhY3Rpb246MTc0NDk2,s,Cu,-0.172056,s,Cu,-0.172056,0.0
UmVhY3Rpb246ODI3MjY=,s,Cu,-0.172056,s,Cu,-0.172056,0.0
UmVhY3Rpb246NzM1,p,C,-0.199186,p,C,-0.199186,0.0
UmVhY3Rpb246MTA3,p,C,-0.199186,p,C,-0.199186,0.0
UmVhY3Rpb246NzE3,p,C,-0.199186,p,C,-0.199186,0.0
UmVhY3Rpb246Njcw,p,C,-0.199186,p,C,-0.199186,0.0
UmVhY3Rpb246NDMzOTk4,s,Cu,-0.172056,s,Cu,-0.172056,0.0
UmVhY3Rpb246NDM0MDA4,s,Cu,-0.172056,s,Cu,-0.172056,0.0
UmVhY3Rpb246NDM0MDEy,s,Cu,-0.172056,s,Cu,-0.172056,0.0
UmVhY3Rpb246MTg=,d,Cu,-0.202272,d,Cu,-0.202272,0.0
UmVhY3Rpb246MTY=,d,Cu,-0.202272,d,Cu,-0.202272,0.0
UmVhY3Rpb246NzQz,d,Cu,-0.202272,d,Cu,-0.202272,0.0
UmVhY3Rpb246NzQx,d,Cu,-0.202272,d,Cu,-0.202272,0.0
UmVhY3Rpb246MTc=,d,Cu,-0.202272,d,Cu,-0.202272,0.0
UmVhY3Rpb246NzQ1,d,Cu,-0.202272,d,Cu,-0.202272,0.0
UmVhY3Rpb246NzM5,d,Cu,-0.202272,d,Cu,-0.202272,0.0
UmVhY3Rpb246NzQw,d,Cu,-0.202272,d,Cu,-0.202272,0.0
UmVhY3Rpb246Njk2,d,Pt,-0.273634,s,H,-0.233471,0.040162999999999976
UmVhY3Rpb246Njgw,d,Pt,-0.273634,s,H,-0.233471,0.040162999999999976
UmVhY3Rpb246NjM=,d,Pt,-0.273634,d,Pt,-0.273634,0.0
UmVhY3Rpb246NzAw,d,Pt,-0.273634,d,Pt,-0.273634,0.0
UmVhY3Rpb246NDMzMDg3,p,N,-0.266297,s,H,-0.233471,0.032825999999999994
UmVhY3Rpb246NDMzMDkz,p,N,-0.266297,s,H,-0.233471,0.032825999999999994
UmVhY3Rpb246NzI5,p,N,-0.266297,s,H,-0.233471,0.032825999999999994
UmVhY3Rpb246NzQ0,p,N,-0.266297,s,H,-0.233471,0.032825999999999994
UmVhY3Rpb246NzUx,p,N,-0.266297,s,H,-0.233471,0.032825999999999994
UmVhY3Rpb246NDM1NTU5,d,Pt,-0.273634,p,C,-0.199186,0.07444799999999999
UmVhY3Rpb246ODI3MTc=,d,Pt,-0.273634,p,C,-0.199186,0.07444799999999999
UmVhY3Rpb246MTc0NTA2,d,Pt,-0.273634,p,C,-0.199186,0.07444799999999999
UmVhY3Rpb246NzUz,d,Pt,-0.273634,p,C,-0.199186,0.07444799999999999
UmVhY3Rpb246Nzcw,d,Pt,-0.273634,p,C,-0.199186,0.07444799999999999
UmVhY3Rpb246OTg=,d,Pt,-0.273634,p,C,-0.199186,0.07444799999999999
UmVhY3Rpb246OTk=,d,Pt,-0.273634,p,C,-0.199186,0.07444799999999999
UmVhY3Rpb246OTc=,d,Pt,-0.273634,p,C,-0.199186,0.07444799999999999
UmVhY3Rpb246NzM3,s,H,-0.233471,p,C,-0.199186,0.03428500000000001
UmVhY3Rpb246NDM0MTEz,p,N,-0.266297,p,N,-0.266297,0.0
UmVhY3Rpb246Nzgy,p,N,-0.266297,p,N,-0.266297,0.0
UmVhY3Rpb246Nzcy,p,N,-0.266297,p,N,-0.266297,0.0
UmVhY3Rpb246NzU2,p,N,-0.266297,p,N,-0.266297,0.0
UmVhY3Rpb246Nzc0,p,N,-0.266297,p,N,-0.266297,0.0
UmVhY3Rpb246Nzc2,p,N,-0.266297,p,N,-0.266297,0.0
UmVhY3Rpb246Njc5,p,O,-0.338381,s,H,-0.233471,0.10490999999999998
UmVhY3Rpb246NzE2,p,O,-0.338381,s,H,-0.233471,0.10490999999999998
UmVhY3Rpb246NzQ4,p,O,-0.338381,p,O,-0.338381,0.0
UmVhY3Rpb246NDMzMDQ1,p,N,-0.266297,s,H,-0.233471,0.032825999999999994
UmVhY3Rpb246NzA5,p,N,-0.266297,s,H,-0.233471,0.032825999999999994
UmVhY3Rpb246NzMz,p,N,-0.266297,s,H,-0.233471,0.032825999999999994
UmVhY3Rpb246NDMzNTA3,p,O,-0.338381,s,Ni,-0.210764,0.12761699999999998
UmVhY3Rpb246NzY1,p,O,-0.338381,s,Ni,-0.210764,0.12761699999999998
UmVhY3Rpb246NzU0,p,O,-0.338381,s,Ni,-0.210764,0.12761699999999998
UmVhY3Rpb246Nzg5,p,N,-0.266297,p,N,-0.266297,0.0
UmVhY3Rpb246Nzkw,p,N,-0.266297,p,N,-0.266297,0.0
UmVhY3Rpb246Nzg3,p,N,-0.266297,p,N,-0.266297,0.0
UmVhY3Rpb246Nzc5,p,N,-0.266297,p,N,-0.266297,0.0
UmVhY3Rpb246Nzg0,p,N,-0.266297,p,N,-0.266297,0.0
UmVhY3Rpb246MzM5MjIz,d,Pd,-0.160771,d,Pd,-0.160771,0.0
UmVhY3Rpb246MzM5MjI0,d,Pd,-0.160771,d,Pd,-0.160771,0.0
UmVhY3Rpb246MzM5MjI1,d,Pd,-0.160771,d,Pd,-0.160771,0.0
UmVhY3Rpb246Njg4,d,Pd,-0.160771,d,Pd,-0.160771,0.0
UmVhY3Rpb246NzAy,d,Pd,-0.160771,d,Pd,-0.160771,0.0
UmVhY3Rpb246NTU=,d,Pd,-0.160771,d,Pd,-0.160771,0.0
UmVhY3Rpb246NTY=,d,Pd,-0.160771,d,Pd,-0.160771,0.0
UmVhY3Rpb246NTc=,d,Pd,-0.160771,d,Pd,-0.160771,0.0
UmVhY3Rpb246NzIz,d,Pd,-0.160771,d,Pd,-0.160771,0.0
UmVhY3Rpb246NDMyOTk3,d,Pd,-0.160771,d,Pd,-0.160771,0.0
UmVhY3Rpb246NzMy,d,Pd,-0.160771,d,Pd,-0.160771,0.0
UmVhY3Rpb246NzIx,d,Pd,-0.160771,d,Pd,-0.160771,0.0
UmVhY3Rpb246NDMxNjEx,d,Pd,-0.160771,d,Pd,-0.160771,0.0
UmVhY3Rpb246NDMzNjYz,d,Pd,-0.160771,d,Pd,-0.160771,0.0
UmVhY3Rpb246NDMzNjcx,d,Pd,-0.160771,d,Pd,-0.160771,0.0
UmVhY3Rpb246NDM1NTQ5,d,Pd,-0.160771,d,Pd,-0.160771,0.0
UmVhY3Rpb246MTc0NDcy,d,Pd,-0.160771,d,Pd,-0.160771,0.0
UmVhY3Rpb246MTc0NDc0,d,Pd,-0.160771,d,Pd,-0.160771,0.0
UmVhY3Rpb246ODI3MTQ=,d,Pd,-0.160771,d,Pd,-0.160771,0.0
UmVhY3Rpb246OTI=,d,Pd,-0.160771,d,Pd,-0.160771,0.0
UmVhY3Rpb246NzY2,d,Pd,-0.160771,d,Pd,-0.160771,0.0
UmVhY3Rpb246NzU3,d,Pd,-0.160771,d,Pd,-0.160771,0.0
UmVhY3Rpb246OTM=,d,Pd,-0.160771,d,Pd,-0.160771,0.0
UmVhY3Rpb246NDMxNjE4,d,Pd,-0.160771,d,Pd,-0.160771,0.0
UmVhY3Rpb246NDM0MDMz,d,Pd,-0.160771,d,Pd,-0.160771,0.0
UmVhY3Rpb246MQ==,d,Pd,-0.160771,d,Pd,-0.160771,0.0
UmVhY3Rpb246Nzcx,d,Pd,-0.160771,d,Pd,-0.160771,0.0
UmVhY3Rpb246NzY4,d,Pd,-0.160771,d,Pd,-0.160771,0.0
UmVhY3Rpb246Nzc1,d,Pd,-0.160771,d,Pd,-0.160771,0.0
UmVhY3Rpb246NzY3,d,Pd,-0.160771,d,Pd,-0.160771,0.0
UmVhY3Rpb246NzY5,d,Pd,-0.160771,d,Pd,-0.160771,0.0
UmVhY3Rpb246Njkx,d,Rh,-0.239422,d,Rh,-0.239422,0.0
UmVhY3Rpb246NzE0,d,Rh,-0.239422,d,Rh,-0.239422,0.0
UmVhY3Rpb246NjQ=,d,Rh,-0.239422,d,Rh,-0.239422,0.0
UmVhY3Rpb246NjY=,d,Rh,-0.239422,d,Rh,-0.239422,0.0
UmVhY3Rpb246NzUw,d,Rh,-0.239422,d,Rh,-0.239422,0.0
UmVhY3Rpb246NDMzMDk5,d,Rh,-0.239422,d,Rh,-0.239422,0.0
UmVhY3Rpb246NDMzMTA1,d,Rh,-0.239422,d,Rh,-0.239422,0.0
UmVhY3Rpb246NzM4,d,Rh,-0.239422,d,Rh,-0.239422,0.0
UmVhY3Rpb246NzI0,d,Rh,-0.239422,d,Rh,-0.239422,0.0
UmVhY3Rpb246NzU5,d,Rh,-0.239422,d,Rh,-0.239422,0.0
UmVhY3Rpb246NDMxNjA3,d,Rh,-0.239422,d,Rh,-0.239422,0.0
UmVhY3Rpb246NDM1NTgx,d,Rh,-0.239422,d,Rh,-0.239422,0.0
UmVhY3Rpb246MTc0NDY2,d,Rh,-0.239422,d,Rh,-0.239422,0.0
UmVhY3Rpb246ODI3MTk=,d,Rh,-0.239422,d,Rh,-0.239422,0.0
UmVhY3Rpb246MTAw,d,Rh,-0.239422,d,Rh,-0.239422,0.0
UmVhY3Rpb246NDEwOQ==,d,Rh,-0.239422,d,Rh,-0.239422,0.0
UmVhY3Rpb246MTAy,d,Rh,-0.239422,d,Rh,-0.239422,0.0
UmVhY3Rpb246Nzcz,d,Rh,-0.239422,d,Rh,-0.239422,0.0
UmVhY3Rpb246NDEwOA==,d,Rh,-0.239422,d,Rh,-0.239422,0.0
UmVhY3Rpb246NzYz,d,Rh,-0.239422,d,Rh,-0.239422,0.0
UmVhY3Rpb246NDM0MDQw,d,Rh,-0.239422,d,Rh,-0.239422,0.0
UmVhY3Rpb246NDM0MDUw,d,Rh,-0.239422,d,Rh,-0.239422,0.0
UmVhY3Rpb246NDM0MDU0,d,Rh,-0.239422,d,Rh,-0.239422,0.0
UmVhY3Rpb246Nzgw,d,Rh,-0.239422,d,Rh,-0.239422,0.0
UmVhY3Rpb246Nzkz,d,Rh,-0.239422,d,Rh,-0.239422,0.0
UmVhY3Rpb246Nzk4,d,Rh,-0.239422,d,Rh,-0.239422,0.0
UmVhY3Rpb246MTI=,d,Rh,-0.239422,d,Rh,-0.239422,0.0
UmVhY3Rpb246Nzk1,d,Rh,-0.239422,d,Rh,-0.239422,0.0
UmVhY3Rpb246Nzkx,d,Rh,-0.239422,d,Rh,-0.239422,0.0
UmVhY3Rpb246MzM5Mzg5,s,Zn,-0.222725,s,Zn,-0.222725,0.0
UmVhY3Rpb246MzM5Mzkw,s,Zn,-0.222725,s,Zn,-0.222725,0.0
UmVhY3Rpb246NDM1NTg1,s,Zn,-0.222725,p,C,-0.199186,0.023539000000000004
UmVhY3Rpb246MzM5Mjk0,d,Zr,-0.150673,d,Zr,-0.150673,0.0
UmVhY3Rpb246MzM5MzYx,d,Y,-0.108691,d,Y,-0.108691,0.0
UmVhY3Rpb246MzM5MzYy,d,Y,-0.108691,d,Y,-0.108691,0.0
UmVhY3Rpb246MzM5NzQx,p,Sn,-0.14445,p,Sn,-0.14445,0.0
UmVhY3Rpb246MzM5NzQy,p,Sn,-0.14445,p,Sn,-0.14445,0.0
UmVhY3Rpb246MzM5NzQz,p,Sn,-0.14445,p,Sn,-0.14445,0.0
UmVhY3Rpb246NDM1NTQz,p,Sn,-0.14445,p,Sn,-0.14445,0.0
UmVhY3Rpb246NDM1NzU0,p,Si,-0.153293,p,Si,-0.153293,0.0
UmVhY3Rpb246Njg5,d,Ir,-0.335189,d,Ir,-0.335189,0.0
UmVhY3Rpb246NzEz,d,Ir,-0.335189,d,Ir,-0.335189,0.0
UmVhY3Rpb246NDMyOTcz,d,Ir,-0.335189,d,Ir,-0.335189,0.0
UmVhY3Rpb246NzM0,p,N,-0.266297,p,N,-0.266297,0.0
UmVhY3Rpb246NzQ2,p,N,-0.266297,p,N,-0.266297,0.0
UmVhY3Rpb246NDM1NzUy,d,Ir,-0.335189,d,Ir,-0.335189,0.0
UmVhY3Rpb246MTc0NTE2,d,Ir,-0.335189,d,Ir,-0.335189,0.0
UmVhY3Rpb246MTc0NTE4,d,Ir,-0.335189,d,Ir,-0.335189,0.0
UmVhY3Rpb246ODI3MTY=,d,Ir,-0.335189,d,Ir,-0.335189,0.0
UmVhY3Rpb246Nzky,d,Ir,-0.335189,d,Ir,-0.335189,0.0
UmVhY3Rpb246OTU=,d,Ir,-0.335189,d,Ir,-0.335189,0.0
UmVhY3Rpb246NDM0MDcx,d,Ir,-0.335189,d,Ir,-0.335189,0.0
UmVhY3Rpb246NDM0MDc1,d,Ir,-0.335189,d,Ir,-0.335189,0.0
UmVhY3Rpb246NQ==,d,Ir,-0.335189,d,Ir,-0.335189,0.0
UmVhY3Rpb246NA==,d,Ir,-0.335189,d,Ir,-0.335189,0.0
UmVhY3Rpb246Ng==,d,Ir,-0.335189,d,Ir,-0.335189,0.0
UmVhY3Rpb246NzI1,d,Mn,-0.26654,d,Mn,-0.26654,0.0
UmVhY3Rpb246Njk0,d,Mn,-0.26654,d,Mn,-0.26654,0.0
UmVhY3Rpb246NzIw,p,N,-0.266297,p,N,-0.266297,0.0
UmVhY3Rpb246NzQy,p,N,-0.266297,p,N,-0.266297,0.0
UmVhY3Rpb246NDMyOTg1,d,Os,-0.296791,d,Os,-0.296791,0.0
UmVhY3Rpb246NDM1NzAx,d,Os,-0.296791,d,Os,-0.296791,0.0
UmVhY3Rpb246MzM5MTYx,d,La,-0.141085,d,La,-0.141085,0.0
UmVhY3Rpb246MzM5MTYy,d,La,-0.141085,d,La,-0.141085,0.0
UmVhY3Rpb246MzM5MDg4,p,Ga,-0.101634,p,Ga,-0.101634,0.0
UmVhY3Rpb246MzM5MDg5,p,Ga,-0.101634,p,Ga,-0.101634,0.0
UmVhY3Rpb246NDM1Njk3,p,Ge,-0.149882,p,Ge,-0.149882,0.0
UmVhY3Rpb246MzM5Njg3,p,Pb,-0.141831,p,Pb,-0.141831,0.0
UmVhY3Rpb246MzM5Njg4,p,Pb,-0.141831,p,Pb,-0.141831,0.0
UmVhY3Rpb246NDM1Njc1,p,Bi,-0.180198,p,Bi,-0.180198,0.0
UmVhY3Rpb246MzM5NjY4,s,Cd,-0.204228,s,Cd,-0.204228,0.0
UmVhY3Rpb246NzAx,s,H,-0.233471,s,H,-0.233471,0.0
UmVhY3Rpb246Njg1,s,H,-0.233471,s,H,-0.233471,0.0
UmVhY3Rpb246NzE4,d,Co,-0.322368,d,Co,-0.322368,0.0
UmVhY3Rpb246Njgx,d,Co,-0.322368,d,Co,-0.322368,0.0
UmVhY3Rpb246NDMzMDc1,d,Co,-0.322368,d,Co,-0.322368,0.0
UmVhY3Rpb246NDMzMDgx,d,Co,-0.322368,d,Co,-0.322368,0.0
UmVhY3Rpb246NzU4,p,N,-0.266297,p,N,-0.266297,0.0
UmVhY3Rpb246NDMxNjA5,d,Co,-0.322368,d,Co,-0.322368,0.0
UmVhY3Rpb246NDM1NTM3,d,Co,-0.322368,d,Co,-0.322368,0.0
UmVhY3Rpb246ODI3MTg=,d,Co,-0.322368,d,Co,-0.322368,0.0
UmVhY3Rpb246NzYx,d,Co,-0.322368,d,Co,-0.322368,0.0
UmVhY3Rpb246Njcx,s,H,-0.233471,s,H,-0.233471,0.0
UmVhY3Rpb246Nzg4,d,Co,-0.322368,p,N,-0.266297,0.05607099999999998
UmVhY3Rpb246Nzc4,d,Co,-0.322368,p,N,-0.266297,0.05607099999999998
UmVhY3Rpb246Nzgz,d,Co,-0.322368,p,N,-0.266297,0.05607099999999998
UmVhY3Rpb246Nzg1,d,Co,-0.322368,p,N,-0.266297,0.05607099999999998
UmVhY3Rpb246Nzgx,d,Co,-0.322368,p,N,-0.266297,0.05607099999999998
UmVhY3Rpb246NzMw,d,Ru,-0.210375,d,Ru,-0.210375,0.0
UmVhY3Rpb246NzA1,d,Ru,-0.210375,d,Ru,-0.210375,0.0
UmVhY3Rpb246NzYy,d,Ru,-0.210375,d,Ru,-0.210375,0.0
UmVhY3Rpb246NDMzMDA5,d,Ru,-0.210375,d,Ru,-0.210375,0.0
UmVhY3Rpb246NzQ3,d,Ru,-0.210375,d,Ru,-0.210375,0.0
UmVhY3Rpb246NzI4,d,Ru,-0.210375,d,Ru,-0.210375,0.0
UmVhY3Rpb246ODA2,d,Ru,-0.210375,d,Ru,-0.210375,0.0
UmVhY3Rpb246ODA1,d,Ru,-0.210375,d,Ru,-0.210375,0.0
UmVhY3Rpb246NDM1Njk1,d,Ru,-0.210375,d,Ru,-0.210375,0.0
UmVhY3Rpb246NzY0,d,Ru,-0.210375,d,Ru,-0.210375,0.0
UmVhY3Rpb246Nzc3,d,Ru,-0.210375,d,Ru,-0.210375,0.0
UmVhY3Rpb246Nzk5,d,Ru,-0.210375,d,Ru,-0.210375,0.0
UmVhY3Rpb246Nzk2,d,Ru,-0.210375,d,Ru,-0.210375,0.0
UmVhY3Rpb246ODAw,d,Ru,-0.210375,d,Ru,-0.210375,0.0
UmVhY3Rpb246ODAx,d,Ru,-0.210375,d,Ru,-0.210375,0.0
UmVhY3Rpb246Nzk3,d,Ru,-0.210375,d,Ru,-0.210375,0.0
